확장된 룰베이스 중요도 낮추기 결과
학습 일시: 2025-10-09 15:43:29
데이터: 26480개
총 설정: 47개

순위   이름                                      R²        ML        룰         분산        
----------------------------------------------------------------------------------------------------
1    gb_coef_0.10                            0.6520    0.4619    0.4936    0.0445    
2    combo_all_features_0.1                  0.6642    0.1299    0.5090    0.0196    
3    robust_coef_0.10                        0.5914    0.4419    0.5254    0.0327    
4    sqrt_coef_0.10                          0.5916    0.4418    0.5256    0.0326    
5    log_coef_0.10                           0.5916    0.4418    0.5256    0.0326    
6    basic_coef_0.10                         0.5916    0.4418    0.5256    0.0326    
7    clip_coef_0.10                          0.5916    0.4418    0.5256    0.0326    
8    minmax_coef_0.10                        0.5916    0.4419    0.5256    0.0326    
9    combo_log_boost_0.15                    0.6473    0.4307    0.5263    0.0429    
10   interactions_coef_0.10                  0.6328    0.1028    0.5264    0.0171    
11   ml_features_coef_0.10                   0.6087    0.2306    0.5267    0.0242    
12   boost_1.5_coef_0.10                     0.5621    0.4301    0.5269    0.0430    
13   boost_1.2_coef_0.10                     0.5736    0.4359    0.5288    0.0353    
14   boost_2.0_coef_0.10                     0.5425    0.4146    0.5303    0.0551    
15   basic_coef_0.15                         0.6398    0.4258    0.5476    0.0266    
16   basic_coef_0.05                         0.4476    0.3946    0.5556    0.0498    
17   combo_clip_interactions_0.2             0.6864    0.1309    0.5626    0.0207    
18   gb_coef_0.20                            0.6927    0.4090    0.5647    0.0263    
19   boost_1.2_coef_0.20                     0.6553    0.4027    0.5740    0.0233    
20   robust_coef_0.20                        0.6654    0.4049    0.5741    0.0210    
