임대종류,광역시도,시군구,도로명주소,단지명,세대수,주택유형,임대사업자,준공일자,건물형태,난방방식,승강기설치여부,주차수,형명,공급면적(전용),공급면적(공용),임대보증금,월임대료,전환보증금
행복주택,서울특별시,종로구,서울특별시 종로구 송월길 130,경희궁자이(돈의문1)_서울리츠2호,188,아파트,SH공사,2017-06-30,복도식,개별난방,전체동 설치,397,39A,39.0561,19.6373,171300000,600000,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,13D,13.86,7.45,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,13E,13.44,7.23,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,14A,14.19,7.64,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,14F,14.7,7.91,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,15G,15.64,8.41,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,15H,16.56,8.91,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,15I,15.51,8.35,0,0,0
행복주택,서울특별시,종로구,서울특별시 종로구 지봉로 37-29,제이타워오피스텔(창신동255-1),17,다세대주택,SH공사,2021-05-28,복도식,개별난방,전체동 설치,79,19,19.61,10.55,0,0,0
행복주택,서울특별시,중구,서울특별시 중구 만리재로 175,서울역 센트럴자이(만리2)_서울리츠2호,36,아파트,SH공사,2017-08-07,계단식,개별난방,전체동 설치,36,39A,39.954,21.727,159980000,600000,0
행복주택,서울특별시,용산구,서울특별시 용산구 백범로 313,용산롯데캐슬센터포레(효창5)_서울리츠2호,25,아파트,SH공사,2019-04-29,계단식,개별난방,전체동 설치,534,38,38.17,18.15,148320000,533000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40A,40.9,22.19,216540000,758000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40B,40.32,23.68,204510000,716000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40C,40.29,22.81,216540000,758000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40D,40.67,22.31,216540000,758000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40E,40.48,22.48,216540000,758000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40F1,40.35,23.19,216540000,758000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40F2,40.35,23.53,121400000,415000,0
행복주택,서울특별시,용산구,서울특별시 용산구 서빙고로 17,용산센트럴파크 헤링턴스퀘어(국제4)_서울리츠2호,97,아파트,SH공사,2020-08-20,복도식,지역난방,전체동 설치,194,40G,40.37,22.64,240600000,842000,0
행복주택,서울특별시,용산구,서울특별시 용산구 효창원로 227,효창파크뷰데시앙(효창6)_서울리츠2호,15,아파트,SH공사,2022-03-28,복도식,개별난방,전체동 설치,384,39,39.44,18.83,109440000,410000,0
행복주택,서울특별시,용산구,서울특별시 용산구 효창원로 227,효창파크뷰데시앙(효창6)_서울리츠2호,15,아파트,SH공사,2022-03-28,복도식,개별난방,전체동 설치,384,45,45.64,21.73,140800000,528000,0
